,0,1,2,3
0,28.913423965888654,-7.788625602715607,-7.788625602715607,-7.788625602715607
1,-4.8323898064268995,-4.8323898064268995,90.44234899999996,-4.8323898064268995
2,-4.31468014059,-4.321307479590001,101.60260999999996,-4.7768969372678995
3,-8.289,-3.759678549,114.00289999999995,-3.7043959590000006
4,127.78099999999995,-3.1425039000000003,-3.1425039000000003,-3.6984515490000005
5,33.23713773987628,-7.574619937348922,-7.569918244742425,-7.569918244742425
6,-5.2704481807053085,80.39811409999997,-5.297474723848478,-5.297474723848478
7,-4.8644109209864705,90.44234899999996,-4.321307479590001,-4.321307479590001
8,-9.9,92.60260999999994,-17.19,-17.19
9,143.08999999999995,-2.98943559,-2.4642900000000005,-2.4642900000000005
10,38.04126415541809,-7.498955823340833,-7.329580488727939,-7.329580488727939
11,-6.063546656623631,-5.515004568585762,71.35830268999997,-5.720701998702116
12,-5.2979469486404485,80.39811409999997,-5.297474723848478,-5.280308159125779
13,-8.333771407759759,82.34234899999996,-8.333572384064002,-8.333572384064002
14,160.09999999999994,-1.629,128.60909999989917,-1.719
15,43.37918239490899,-7.273563447590935,-7.065473064536197,-7.065473064536197
16,-6.033294523333026,63.22247242099998,-6.105838818818925,-6.105838818818925
17,-8.289,71.35830268999997,-5.720701998702116,-5.720701998702116
18,-8.483570771867818,73.10811409999997,-8.483550869498243,-8.483550869498243
19,178.99999999999991,-1.629,-0.9,-0.9
20,-6.775245125863952,-6.721508887728596,49.31020266100998,-6.775245125863952
21,43.733551062396465,55.90022517889998,-8.289,-6.727763783793683
22,-17.19,54.22247242099998,-17.19,-14.807395108472218
23,-8.620031291243402,64.79730268999997,-8.620031291243402,-8.620031291243402
24,199.9999999999999,0.0,0.0,0.0
